"Cancer","Healthy","MeanDecreaseAccuracy","MeanDecreaseGini","Sanitized","Taxon"
3.34306857504459,5.61305854459002,5.55606903149158,2.73845426050516,"X64396","64396"
3.91431750469373,4.35651125508538,5.2028646040467,2.06391517068017,"X308873","308873"
5.34392056210544,2.22168140592928,4.9005043633843,2.90910946458926,"X186029","186029"
1.92132023259266,4.19071285278639,4.22610320867818,2.69756392995989,"X72853","72853"
1.68375958087671,2.49444592595118,3.13623032319516,2.4486113179184,"X180285","180285"
1.09182690706801,2.20614899496083,2.58655125302569,0.651823541791645,"X363076","363076"
1.54936978319739,0.789470918011476,1.88724808713637,0.52617522569139,"X211903","211903"
1.90001041805264,-0.302982399495295,1.33295806485902,0.309015422763789,"X38895","38895"
0.586657995553125,1.29218693376665,1.17917091253972,1.59325943020913,"X195926","195926"
1.23217386506958,0.454419516629838,1.16045277794249,0.7363852006576,"X203590","203590"
1.25555675123068,0.0937046544838469,0.96387482374778,0.677263183868298,"X197476","197476"
-0.879251880088028,1.87872754145172,0.834108932253435,1.61733246041212,"X374052","374052"
0.376581575260534,0.600947788073291,0.769215677179341,1.04156045667542,"X237324","237324"
1.55941759581201,-0.511434000680801,0.749455297108705,0.636023367081417,"X172962","172962"
1.34708675812097,-0.561372038142352,0.571994515818757,0.292305471130258,"X469918","469918"
